time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-23 00:00:00+00:00,14,12,91,72
2025-10-24 00:00:00+00:00,19,13,114,69
2025-10-25 00:00:00+00:00,186,46,123,54
2025-10-26 00:00:00+00:00,34,16,62,52
2025-10-27 00:00:00+00:00,30,21,125,70
2025-10-28 00:00:00+00:00,35,26,181,97
2025-10-29 00:00:00+00:00,19,12,100,77
2025-10-30 00:00:00+00:00,20,17,96,76
2025-10-31 00:00:00+00:00,28,18,107,62
2025-11-01 00:00:00+00:00,21,17,84,42
2025-11-02 00:00:00+00:00,80,24,161,70
2025-11-03 00:00:00+00:00,36,20,126,65
2025-11-04 00:00:00+00:00,17,15,117,71
2025-11-05 00:00:00+00:00,19,16,131,67
