time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-16 00:00:00+00:00,12,10,62,41
2024-10-17 00:00:00+00:00,17,16,82,50
2024-10-18 00:00:00+00:00,13,9,84,54
2024-10-19 00:00:00+00:00,7,6,91,45
2024-10-20 00:00:00+00:00,9,8,114,44
2024-10-21 00:00:00+00:00,14,10,105,56
2024-10-22 00:00:00+00:00,6,6,87,47
2024-10-23 00:00:00+00:00,9,8,89,57
2024-10-24 00:00:00+00:00,7,6,74,56
2024-10-25 00:00:00+00:00,5,4,90,50
2024-10-26 00:00:00+00:00,8,7,84,42
2024-10-27 00:00:00+00:00,4,4,163,52
2024-10-28 00:00:00+00:00,11,11,109,52
2024-10-29 00:00:00+00:00,11,10,102,58
