time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-16 00:00:00+00:00,20,16,98,52
2025-04-17 00:00:00+00:00,31,21,97,57
2025-04-18 00:00:00+00:00,20,17,85,47
2025-04-19 00:00:00+00:00,11,8,64,44
2025-04-20 00:00:00+00:00,19,14,84,34
2025-04-21 00:00:00+00:00,18,13,97,53
2025-04-22 00:00:00+00:00,23,18,109,51
2025-04-23 00:00:00+00:00,25,24,193,76
2025-04-24 00:00:00+00:00,25,17,158,76
2025-04-25 00:00:00+00:00,16,12,185,39
2025-04-26 00:00:00+00:00,23,22,72,33
2025-04-27 00:00:00+00:00,35,27,123,46
2025-04-28 00:00:00+00:00,19,19,209,52
2025-04-29 00:00:00+00:00,21,18,77,39
