time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,51,38,78,59
2026-06-11 00:00:00+00:00,44,28,91,58
2026-06-12 00:00:00+00:00,54,27,115,73
2026-06-13 00:00:00+00:00,34,21,66,50
2026-06-14 00:00:00+00:00,82,37,147,79
2026-06-15 00:00:00+00:00,34,30,77,54
2026-06-16 00:00:00+00:00,28,16,51,34
2026-06-17 00:00:00+00:00,49,28,152,85
2026-06-18 00:00:00+00:00,94,26,100,69
2026-06-19 00:00:00+00:00,78,38,196,114
2026-06-20 00:00:00+00:00,402,36,94,51
2026-06-21 00:00:00+00:00,83,31,92,71
2026-06-22 00:00:00+00:00,75,26,266,123
2026-06-23 00:00:00+00:00,38,20,268,193
