time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-20 00:00:00+00:00,27,15,76,46
2025-06-21 00:00:00+00:00,71,13,181,47
2025-06-22 00:00:00+00:00,33,14,128,35
2025-06-23 00:00:00+00:00,29,21,125,57
2025-06-24 00:00:00+00:00,33,23,109,57
2025-06-25 00:00:00+00:00,21,12,112,51
2025-06-26 00:00:00+00:00,33,21,130,64
2025-06-27 00:00:00+00:00,21,11,96,50
2025-06-28 00:00:00+00:00,30,21,47,27
2025-06-29 00:00:00+00:00,17,9,44,33
2025-06-30 00:00:00+00:00,95,45,138,61
2025-07-01 00:00:00+00:00,42,22,80,52
2025-07-02 00:00:00+00:00,43,34,90,51
2025-07-03 00:00:00+00:00,24,22,96,47
